Commit Date,Commit SHA,Removed EPDs 1,2,3,4,5,New bm EPD,Release tag
2023-03-25T09:22:25+01:00,1b5738e0c958ac8d3d140a3d182b85f8c0c0cd2c,None,None,12,None,None,None,
2023-03-25T09:25:49+01:00,587bc647d7d14b53d8625c4446006e23a4acd82a,None,11,15,None,None,None,
2023-03-29T21:36:27+02:00,43108a619899af084e45224e8744ca668a9efed2,None,11,15,None,None,None,
2023-03-29T21:37:52+02:00,37160c4b1632245d46d86cec7bd22b76f5a87531,None,14,12,None,None,None,
2023-03-29T21:43:07+02:00,a9c26357deb01c764cd16ef4e61acb4f687cbd77,None,14,12,None,None,None,
2023-03-29T21:46:23+02:00,3f01e3f41f11aa66befec2307a32ee023c699a2a,None,None,12,None,None,None,
2023-04-01T15:36:08+02:00,7a6fa34f5f9f0f193d9350cd58c82a8f98a6505d,None,None,12,None,None,None,
2023-04-01T15:48:47+02:00,e8742bdab35c63253b5110d1861f27337e18f9fc,None,None,12,None,None,None,
2023-04-01T15:53:46+02:00,c3c46feebba470dcbaa0a5a6ef83534091dffe6a,None,14,12,None,None,None,
2023-04-01T15:58:05+02:00,66bf45b99e2061c1ba74f9975bc5059ac0121dfd,None,14,12,None,None,None,
2023-04-01T16:14:30+02:00,38a80c0b47397dbdd9167ec1476dfd3c033020d6,None,14,12,None,None,None,
2023-04-01T16:16:48+02:00,bc50378ff1915a8ad6ac3e4946193c65e4cacb56,None,14,12,None,None,None,
2023-04-01T16:28:52+02:00,6a6e32dfc80488dfdcd6c23e601063b47729e890,None,14,12,None,None,None,
2023-04-05T08:10:34+02:00,1fee996999364bedbd9ca4c29649d5c7321947c5,None,14,12,None,None,None,
2023-04-05T08:13:34+02:00,77e2b915e1e4f2469a414712e52b469633fb3273,None,14,12,None,None,None,
2023-04-05T08:15:34+02:00,9a42bbdf3163222db5e0fa764d48ca0a09a0dec2,None,11,12,None,None,None,
2023-04-05T08:18:53+02:00,a2737d8bb5e480563823820fb12a8887d61c991e,None,14,12,None,None,None,
2023-04-05T08:23:54+02:00,510aca1ef62279dc35941fa45ed61fb9d3796f10,None,14,12,None,None,None,
2023-04-07T09:56:35+02:00,59f2085469a7dd96146905a5d8d0c1a5d987187d,None,14,12,None,None,None,
2023-04-09T15:19:49+02:00,b36d39de3d61b8f31c11d85233631aafaf760ee1,None,14,12,None,None,None,
2023-04-10T09:22:15+02:00,5d258e168f7ea9019ed640ae2e56f04b26aea6a2,None,14,12,None,None,None,
2023-04-10T09:27:35+02:00,6e63dd63a4f1e3074a9f5a8d7f64fdd0eba19c7e,None,14,12,None,None,None,
2023-04-10T09:28:37+02:00,a5643b89fda5060d4b40dff54afe02816c899dd4,None,14,12,None,None,None,
2023-04-10T09:29:52+02:00,2f2f45f9f47c1212f3229c22304456c9bad8f843,None,14,12,None,None,None,
2023-04-10T10:51:45+02:00,7a9f67747f23e837a8691ba9e6e4f0d1fdafff73,None,14,12,None,None,None,
2023-04-10T10:56:42+02:00,1a64afb1c65591ccd374504c791eb27b762f6c8f,None,14,12,None,None,None,
2023-04-10T11:03:52+02:00,7bd23d4d04d6644b6ccae8ea63cfc6646e4248dd,None,14,12,None,None,None,
2023-04-12T20:38:43+02:00,4ad2713e19cbf8db1e588c4d24d1fe4af5c6e917,None,11,12,None,None,None,
2023-04-12T20:40:53+02:00,f66c36277fe57d0ce4f10a4aeb5b41eb0cb9ebd1,None,11,12,None,None,None,
2023-04-12T20:43:08+02:00,9829bceda90d025a5f5d7c04457902413e367041,None,14,12,None,None,None,
2023-04-12T20:45:34+02:00,acb0d204d56e16398c58822df2cc60b90ef1ae85,None,11,12,None,None,None,
2023-04-22T10:37:14+02:00,96b6c0b36f28f0ef5fa58f48405db710542521df,None,11,12,None,None,None,
2023-04-22T10:38:25+02:00,f9d9c69bc33dc7a17c28cd586d7e67c1bfff66f6,None,11,12,None,None,None,
2023-04-22T10:43:29+02:00,c90dd38903206ede56fa73c15d7d2b366d56ebdb,None,14,12,None,None,None,
2023-04-22T10:47:51+02:00,7b9b793fd544aa7a599b113a40533cde16de640b,None,14,12,None,None,None,
2023-04-22T10:59:33+02:00,d64d4ac426e06cdd52249b0464d22f3cdb7fcf79,None,None,12,None,None,None,
